,Unnamed: 0,BaseDateTime_x,fenzhong,index,MMSI,BaseDateTime_y,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
0,0,2019-02-02 00:00:01.000000,2019-02-02 00:00,1775.0,304604000,2019-02-02 00:00:01.000000,33.75405,-77.3039,11.7,212.0,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
1,1,2019-02-02 00:01:01.000000,2019-02-02 00:01,7922.0,304604000,2019-02-02 00:01:11.000000,33.75087,-77.30634,11.7,214.2,216.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
2,2,2019-02-02 00:02:01.000000,2019-02-02 00:02,12454.0,304604000,2019-02-02 00:02:18.999999,33.74777,-77.3088,11.7,212.6,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
3,3,2019-02-02 00:03:01.000000,2019-02-02 00:03,18994.0,304604000,2019-02-02 00:03:20.000000,33.74499,-77.31093,11.7,212.9,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
4,4,2019-02-02 00:04:01.000000,2019-02-02 00:04,29304.0,304604000,2019-02-02 00:04:30.000000,33.74173,-77.3134,11.7,212.0,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
5,5,2019-02-02 00:05:01.000001,2019-02-02 00:05,30865.0,304604000,2019-02-02 00:05:39.000000,33.73852,-77.31583,11.7,212.8,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
6,6,2019-02-02 00:06:01.000000,2019-02-02 00:06,,304604000,,33.73684930113807,-77.31710015202817,11.70669747200964,212.8365446208346,215.3174725854344,,,,,,,,,,
7,7,2019-02-02 00:07:01.000000,2019-02-02 00:07,36824.0,304604000,2019-02-02 00:07:00.000000,33.73481,-77.31865,11.7,212.3,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
8,8,2019-02-02 00:08:01.000000,2019-02-02 00:08,44477.0,304604000,2019-02-02 00:08:30.000000,33.73066,-77.32179000000001,11.7,212.2,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
9,9,2019-02-02 00:09:01.000001,2019-02-02 00:09,51035.0,304604000,2019-02-02 00:09:50.000000,33.72695,-77.32459,11.8,212.1,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
10,10,2019-02-02 00:10:01.000000,2019-02-02 00:10,,304604000,,33.7255642215467,-77.32563840053894,11.7740145781203,212.0933950316857,214.9726308458315,,,,,,,,,,
11,11,2019-02-02 00:11:01.000000,2019-02-02 00:11,54004.0,304604000,2019-02-02 00:11:00.000000,33.72374,-77.327,11.7,211.8,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
12,12,2019-02-02 00:12:01.000000,2019-02-02 00:12,65562.0,304604000,2019-02-02 00:12:29.999999,33.71958,-77.33009,11.7,211.3,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
13,13,2019-02-02 00:13:01.000000,2019-02-02 00:13,72579.0,304604000,2019-02-02 00:13:31.000000,33.71678,-77.33215,11.7,211.9,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
14,14,2019-02-02 00:14:00.999999,2019-02-02 00:14,75831.0,304604000,2019-02-02 00:14:50.000001,33.71312,-77.33488,11.7,211.6,216.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
15,15,2019-02-02 00:15:01.000000,2019-02-02 00:15,85777.0,304604000,2019-02-02 00:15:58.999999,33.70997,-77.33725,11.6,212.0,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
16,16,2019-02-02 00:16:01.000000,2019-02-02 00:16,,304604000,,33.70886438309886,-77.33809665061867,11.57518570281222,211.9612568243575,214.6903820457171,,,,,,,,,,
17,17,2019-02-02 00:17:01.000000,2019-02-02 00:17,88396.0,304604000,2019-02-02 00:17:09.000000,33.7068,-77.33965,11.6,211.6,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
18,18,2019-02-02 00:18:00.999999,2019-02-02 00:18,95304.0,304604000,2019-02-02 00:18:49.000000,33.70216,-77.34311,11.6,211.6,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
19,19,2019-02-02 00:19:01.000000,2019-02-02 00:19,,304604000,,33.70055190158315,-77.34430373461133,11.59829570668425,212.2555798516968,215.0405950334531,,,,,,,,,,
20,20,2019-02-02 00:20:01.000000,2019-02-02 00:20,117536.0,304604000,2019-02-02 00:20:01.000000,33.69887,-77.34559,11.6,213.1,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
21,21,2019-02-02 00:21:01.000000,2019-02-02 00:21,104536.0,304604000,2019-02-02 00:21:49.000000,33.69396,-77.34933000000001,11.6,213.3,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
22,22,2019-02-02 00:22:01.000000,2019-02-02 00:22,115064.0,304604000,2019-02-02 00:22:50.000000,33.6912,-77.35141,11.6,212.2,216.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
23,23,2019-02-02 00:23:01.000000,2019-02-02 00:23,,304604000,,33.68939344275577,-77.3527770556388,11.60769885893529,211.912049402548,216.1941654788303,,,,,,,,,,
24,24,2019-02-02 00:24:01.000000,2019-02-02 00:24,,304604000,,33.68742662056474,-77.35428134783433,11.61282807208197,212.3395999993003,215.6150249029278,,,,,,,,,,
25,25,2019-02-02 00:25:01.000001,2019-02-02 00:25,125073.0,304604000,2019-02-02 00:25:09.000000,33.68483,-77.35627,11.6,212.6,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
26,26,2019-02-02 00:26:01.000000,2019-02-02 00:26,,304604000,,33.68134414387943,-77.35893402581223,11.5714618229506,212.1870049828634,214.8850144822671,,,,,,,,,,
27,27,2019-02-02 00:27:01.000000,2019-02-02 00:27,135999.0,304604000,2019-02-02 00:27:49.999999,33.67755,-77.36184,11.6,212.1,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
28,28,2019-02-02 00:28:01.000000,2019-02-02 00:28,149330.0,304604000,2019-02-02 00:28:59.000000,33.67439,-77.36426999999999,11.7,213.0,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
29,29,2019-02-02 00:29:01.000001,2019-02-02 00:29,,304604000,,33.67277140748732,-77.36550282818469,11.67178923017813,213.307177828599,214.9930491723503,,,,,,,,,,
30,30,2019-02-02 00:30:01.000000,2019-02-02 00:30,152862.0,304604000,2019-02-02 00:30:09.000000,33.67119,-77.36673,11.6,213.2,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
31,31,2019-02-02 00:31:01.000000,2019-02-02 00:31,159156.0,304604000,2019-02-02 00:31:19.000000,33.66804,-77.36921,11.6,213.3,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
32,32,2019-02-02 00:32:01.000000,2019-02-02 00:32,163767.0,304604000,2019-02-02 00:32:39.999999,33.66435999999999,-77.37208000000001,11.6,213.5,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
33,33,2019-02-02 00:33:01.000000,2019-02-02 00:33,,304604000,,33.6625120967185,-77.3735342668672,11.64113473736257,213.5314830658551,214.9734053489728,,,,,,,,,,
34,34,2019-02-02 00:34:00.999999,2019-02-02 00:34,175610.0,304604000,2019-02-02 00:34:00.000000,33.66068,-77.37499,11.7,213.6,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
35,35,2019-02-02 00:35:01.000000,2019-02-02 00:35,,304604000,,33.65686439853982,-77.377993943599,11.72918076715397,213.9025562441184,215.1087747097287,,,,,,,,,,
36,36,2019-02-02 00:36:01.000000,2019-02-02 00:36,178500.0,304604000,2019-02-02 00:36:50.000000,33.653,-77.38104,11.7,214.1,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
37,37,2019-02-02 00:37:01.000000,2019-02-02 00:37,,304604000,,33.65107655912219,-77.38257370873683,11.61714219402154,213.8332919576712,214.4664958121122,,,,,,,,,,
38,38,2019-02-02 00:38:00.999999,2019-02-02 00:38,182658.0,304604000,2019-02-02 00:38:09.000000,33.64937,-77.3839,11.6,213.2,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
39,39,2019-02-02 00:39:00.999999,2019-02-02 00:39,197831.0,304604000,2019-02-02 00:39:20.000000,33.64614,-77.38635,11.7,212.6,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
40,40,2019-02-02 00:40:01.000000,2019-02-02 00:40,202509.0,304604000,2019-02-02 00:40:29.000000,33.64293,-77.38878000000001,11.7,212.7,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
41,41,2019-02-02 00:41:01.000000,2019-02-02 00:41,205865.0,304604000,2019-02-02 00:41:29.999999,33.64013,-77.39090999999999,11.7,212.6,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
42,42,2019-02-02 00:42:01.000000,2019-02-02 00:42,207265.0,304604000,2019-02-02 00:42:50.999999,33.63641,-77.3937,11.7,212.0,214.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
43,43,2019-02-02 00:43:01.000000,2019-02-02 00:43,,304604000,,33.63344330441905,-77.39593082082686,11.6986878653645,211.8142797848741,214.2157968985903,,,,,,,,,,
44,44,2019-02-02 00:44:01.000000,2019-02-02 00:44,,304604000,,33.63134170162088,-77.39752647741577,11.69871610794928,212.0724942315949,214.5963209028063,,,,,,,,,,
45,45,2019-02-02 00:45:01.000000,2019-02-02 00:45,220376.0,304604000,2019-02-02 00:45:20.000000,33.62956,-77.39889000000001,11.7,212.5,215.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
46,46,2019-02-02 00:46:01.000000,2019-02-02 00:46,,304604000,,33.62764686053772,-77.40035515052699,11.70245395000858,212.8693620593132,215.3104799380773,,,,,,,,,,
47,47,2019-02-02 00:47:01.000000,2019-02-02 00:47,,304604000,,33.62552635456249,-77.40197861780085,11.7059889114521,213.1419786163044,215.512277507159,,,,,,,,,,
48,48,2019-02-02 00:48:01.000000,2019-02-02 00:48,,304604000,,33.62321640598956,-77.40374782233987,11.7105149740539,213.3264561871299,215.6151272579196,,,,,,,,,,
49,49,2019-02-02 00:49:01.000000,2019-02-02 00:49,,304604000,,33.62073493873417,-77.40565018466233,11.71594222753735,213.4314012879461,215.6287637410336,,,,,,,,,,
50,50,2019-02-02 00:50:01.000001,2019-02-02 00:50,,304604000,,33.6180998767116,-77.40767312528652,11.72218076162579,213.4654204349094,215.5629215071754,,,,,,,,,,
51,51,2019-02-02 00:51:01.000000,2019-02-02 00:51,,304604000,,33.61532914383705,-77.40980406473072,11.72914066604259,213.4371201441762,215.4273351070196,,,,,,,,,,
52,52,2019-02-02 00:52:01.000000,2019-02-02 00:52,,304604000,,33.6124406640258,-77.41203042351326,11.73673203051108,213.3551069319028,215.2317390912408,,,,,,,,,,
53,53,2019-02-02 00:53:01.000000,2019-02-02 00:53,,304604000,,33.60945236119309,-77.41433962215237,11.74486494475464,213.2279873142456,214.9858680105133,,,,,,,,,,
54,54,2019-02-02 00:54:01.000001,2019-02-02 00:54,,304604000,,33.60638215925417,-77.4167190811664,11.7534494984966,213.0643678073611,214.6994564155117,,,,,,,,,,
55,55,2019-02-02 00:55:01.000000,2019-02-02 00:55,,304604000,,33.60324798212428,-77.4191562210736,11.76239578146033,212.8728549274055,214.3822388569106,,,,,,,,,,
56,56,2019-02-02 00:56:01.000000,2019-02-02 00:56,,304604000,,33.60006775371866,-77.42163846239227,11.77161388336919,212.6620551905352,214.0439498853843,,,,,,,,,,
57,57,2019-02-02 00:57:01.000000,2019-02-02 00:57,,304604000,,33.59685939795258,-77.4241532256407,11.78101389394651,212.4405751129066,213.6943240516074,,,,,,,,,,
58,58,2019-02-02 00:58:01.000000,2019-02-02 00:58,,304604000,,33.59364083874127,-77.42668793133718,11.79050590291567,212.2170212106761,213.3430959062545,,,,,,,,,,
59,59,2019-02-02 00:59:00.999999,2019-02-02 00:59,274532.0,304604000,2019-02-02 00:59:29.000000,33.59043,-77.42923,11.8,212.0,213.0,HANSE GATE,IMO9283540,V2CF1,70.0,0.0,185.0,23.0,9.8,,A
60,60,2019-02-02 01:00:01.000000,2019-02-02 01:00,,304604000,,33.58724177710202,-77.43176898614016,11.80942130934328,211.7966503101005,212.6731119792458,,,,,,,,,,
61,61,2019-02-02 01:01:01.000000,2019-02-02 01:01,,304604000,,33.58407895125285,-77.43430298023932,11.8187550927709,211.6082402224624,212.363871873304,,,,,,,,,,
62,62,2019-02-02 01:02:01.000000,2019-02-02 01:02,,304604000,,33.58094127511601,-77.436832206772,11.82800164652867,211.4345701316365,212.0720608072137,,,,,,,,,,
63,63,2019-02-02 01:03:00.999999,2019-02-02 01:03,,304604000,,33.577828501355,-77.43935689021257,11.8371612668624,211.2754404321732,211.7974599060142,,,,,,,,,,
64,64,2019-02-02 01:04:01.000000,2019-02-02 01:04,,304604000,,33.57474038263338,-77.44187725503545,11.8462342500179,211.1306515186235,211.5398502947449,,,,,,,,,,
65,65,2019-02-02 01:05:01.000000,2019-02-02 01:05,,304604000,,33.57167667161466,-77.44439352571507,11.85522089224096,211.0000037855378,211.2990130984452,,,,,,,,,,
66,66,2019-02-02 01:06:01.000000,2019-02-02 01:06,,304604000,,33.56863712096236,-77.44690592672585,11.8641214897774,210.8832976274667,211.0747294421543,,,,,,,,,,
67,67,2019-02-02 01:07:01.000000,2019-02-02 01:07,,304604000,,33.56562148334001,-77.44941468254225,11.87293633887303,210.780333438961,210.8667804509115,,,,,,,,,,
68,68,2019-02-02 01:08:01.000000,2019-02-02 01:08,,304604000,,33.56262951141114,-77.45192001763864,11.88166573577366,210.6909116145712,210.6749472497561,,,,,,,,,,
69,69,2019-02-02 01:09:01.000000,2019-02-02 01:09,,304604000,,33.55966095783926,-77.45442215648949,11.89030997672508,210.6148325488481,210.4990109637276,,,,,,,,,,
70,70,2019-02-02 01:10:01.000001,2019-02-02 01:10,,304604000,,33.55671557528792,-77.45692132356915,11.89886935797311,210.5518966363422,210.338752717865,,,,,,,,,,
