,Unnamed: 0,BaseDateTime_x,fenzhong,MMSI,BaseDateTime_y,LAT,LON,SOG,COG,Heading
0,0,2021-12-31 00:00:00.000000,2021-12-31 00:00,372821000,2021-12-31 00:00:00.000000,23.70821,-82.17408,12.9,269.0,267.0
1,1,2021-12-31 00:01:00.000000,2021-12-31 00:01,372821000,2021-12-31 00:01:40.000000,23.70809,-82.18061,12.9,269.0,266.0
2,2,2021-12-31 00:02:00.000000,2021-12-31 00:02,372821000,2021-12-31 00:02:50.999999,23.70802,-82.18519,12.9,269.0,267.0
3,3,2021-12-31 00:03:00.000000,2021-12-31 00:03,372821000,,23.70798402953012,-82.18750048225685,12.90000067144133,268.6970420261708,266.489123498901
4,4,2021-12-31 00:04:00.000000,2021-12-31 00:04,372821000,2021-12-31 00:04:00.000000,23.70793,-82.18975999999999,12.9,268.6,266.0
5,5,2021-12-31 00:05:00.000000,2021-12-31 00:05,372821000,2021-12-31 00:05:10.000000,23.70782,-82.19431999999999,12.9,269.0,267.0
6,6,2021-12-31 00:06:00.000001,2021-12-31 00:06,372821000,2021-12-31 00:06:40.000000,23.70771,-82.20026999999999,12.9,269.0,267.0
7,7,2021-12-31 00:07:00.000000,2021-12-31 00:07,372821000,,23.70765656678308,-82.20319376135936,12.89996172784414,268.9811045082627,266.9949605626451
8,8,2021-12-31 00:08:00.000000,2021-12-31 00:08,372821000,2021-12-31 00:08:00.000000,23.70761,-82.20549,12.9,268.7,267.0
9,9,2021-12-31 00:09:00.000000,2021-12-31 00:09,372821000,2021-12-31 00:09:10.999999,23.70753,-82.21007,12.9,268.5,267.0
10,10,2021-12-31 00:10:00.000001,2021-12-31 00:10,372821000,2021-12-31 00:10:21.000000,23.7075,-82.21465,12.9,270.2,268.0
11,11,2021-12-31 00:11:00.000000,2021-12-31 00:11,372821000,2021-12-31 00:11:30.000000,23.70753,-82.21919,12.9,270.4,268.0
12,12,2021-12-31 00:12:00.000000,2021-12-31 00:12,372821000,2021-12-31 00:12:50.000000,23.70754,-82.22454,12.9,270.4,268.0
13,13,2021-12-31 00:13:00.000000,2021-12-31 00:13,372821000,,23.70754525773165,-82.22703214099762,12.94341181599205,270.370800852745,268.0176424025283
14,14,2021-12-31 00:14:00.000000,2021-12-31 00:14,372821000,2021-12-31 00:14:00.000000,23.70758,-82.22907,13.0,270.6,268.0
15,15,2021-12-31 00:14:59.999999,2021-12-31 00:15,372821000,2021-12-31 00:15:10.000000,23.70765,-82.23371,13.0,271.0,268.0
16,16,2021-12-31 00:16:00.000000,2021-12-31 00:16,372821000,2021-12-31 00:16:30.999999,23.7077,-82.23901,12.9,270.4,268.0
17,17,2021-12-31 00:17:00.000000,2021-12-31 00:17,372821000,2021-12-31 00:17:41.000000,23.70778,-82.24361,12.9,270.9,268.0
18,18,2021-12-31 00:18:00.000000,2021-12-31 00:18,372821000,2021-12-31 00:18:59.000000,23.70785,-82.2488,12.9,270.9,268.0
19,19,2021-12-31 00:18:59.999999,2021-12-31 00:19,372821000,,23.70786893604824,-82.25107256256659,12.89829095058411,270.7743064737258,267.999978194483
20,20,2021-12-31 00:20:00.000000,2021-12-31 00:20,372821000,2021-12-31 00:20:10.000000,23.7079,-82.25339,12.9,270.7,268.0
21,21,2021-12-31 00:21:00.000000,2021-12-31 00:21,372821000,2021-12-31 00:21:31.000000,23.70798,-82.25871,12.9,270.6,268.0
22,22,2021-12-31 00:22:00.000000,2021-12-31 00:22,372821000,2021-12-31 00:22:41.000001,23.708,-82.26326999999999,12.9,270.6,268.0
23,23,2021-12-31 00:23:00.000000,2021-12-31 00:23,372821000,2021-12-31 00:23:49.999999,23.70803,-82.26783,12.9,270.9,268.0
24,24,2021-12-31 00:24:00.000000,2021-12-31 00:24,372821000,2021-12-31 00:24:59.000000,23.7081,-82.27235,12.9,270.9,268.0
25,25,2021-12-31 00:25:00.000000,2021-12-31 00:25,372821000,,23.70814191529309,-82.27465980520286,12.90000011204465,270.7770683768362,267.9999764552055
26,26,2021-12-31 00:26:00.000001,2021-12-31 00:26,372821000,2021-12-31 00:26:09.999999,23.70818,-82.277,12.9,270.8,268.0
27,27,2021-12-31 00:27:00.000000,2021-12-31 00:27,372821000,2021-12-31 00:27:20.000000,23.70825,-82.28158,12.9,271.0,268.0
28,28,2021-12-31 00:28:00.000000,2021-12-31 00:28,372821000,2021-12-31 00:28:31.000000,23.70832,-82.28617,12.9,270.9,268.0
29,29,2021-12-31 00:29:00.000000,2021-12-31 00:29,372821000,2021-12-31 00:29:40.000000,23.70837,-82.29068000000001,12.9,270.8,268.0
30,30,2021-12-31 00:30:00.000001,2021-12-31 00:30,372821000,2021-12-31 00:30:51.000000,23.70841,-82.29529000000001,12.9,271.0,268.0
31,31,2021-12-31 00:31:00.000000,2021-12-31 00:31,372821000,,23.70844975713747,-82.29760858351897,12.90161851733596,271.4044450426526,268.0190459994602
32,32,2021-12-31 00:32:00.000000,2021-12-31 00:32,372821000,2021-12-31 00:32:00.000000,23.70849,-82.29989,12.9,271.2,268.0
33,33,2021-12-31 00:33:00.000000,2021-12-31 00:33,372821000,2021-12-31 00:33:11.000000,23.70852,-82.30445,12.9,270.2,268.0
34,34,2021-12-31 00:34:00.000000,2021-12-31 00:34,372821000,2021-12-31 00:34:21.000000,23.70851,-82.30911,12.9,270.2,268.0
35,35,2021-12-31 00:34:59.999999,2021-12-31 00:35,372821000,2021-12-31 00:35:31.000000,23.7085,-82.31359,12.8,269.9,267.0
36,36,2021-12-31 00:36:00.000000,2021-12-31 00:36,372821000,,23.70853996199601,-82.31718315444162,12.77541110827932,269.970844344291,267.4984769922928
37,37,2021-12-31 00:37:00.000000,2021-12-31 00:37,372821000,2021-12-31 00:37:21.000000,23.70859,-82.32081,12.8,270.2,268.0
38,38,2021-12-31 00:38:00.000000,2021-12-31 00:38,372821000,2021-12-31 00:38:31.000000,23.70861,-82.32533000000001,12.8,270.2,267.0
39,39,2021-12-31 00:38:59.999999,2021-12-31 00:39,372821000,2021-12-31 00:39:41.000000,23.70864,-82.32989,12.8,270.4,267.0
40,40,2021-12-31 00:40:00.000000,2021-12-31 00:40,372821000,2021-12-31 00:40:50.000000,23.70868,-82.33445999999999,12.8,270.5,267.0
41,41,2021-12-31 00:41:00.000000,2021-12-31 00:41,372821000,,23.7086845149965,-82.33667185309396,12.79988642513626,270.3458554963575,266.6512228319176
42,42,2021-12-31 00:42:00.000000,2021-12-31 00:42,372821000,2021-12-31 00:42:00.000000,23.70868,-82.33894000000001,12.8,270.2,267.0
43,43,2021-12-31 00:43:00.000000,2021-12-31 00:43,372821000,2021-12-31 00:43:09.000000,23.70869,-82.3435,12.8,270.3,268.0
44,44,2021-12-31 00:44:00.000000,2021-12-31 00:44,372821000,2021-12-31 00:44:11.000000,23.70868,-82.34745,12.8,270.4,267.0
45,45,2021-12-31 00:45:00.000000,2021-12-31 00:45,372821000,2021-12-31 00:45:20.999999,23.70871,-82.35202,12.8,270.3,268.0
46,46,2021-12-31 00:46:00.000000,2021-12-31 00:46,372821000,2021-12-31 00:46:49.000000,23.70874,-82.35783,12.8,270.7,268.0
47,47,2021-12-31 00:47:00.000000,2021-12-31 00:47,372821000,,23.70874962742525,-82.360726724348,12.80000079077525,270.9572730294409,268.1598622260129
48,48,2021-12-31 00:48:00.000000,2021-12-31 00:48,372821000,2021-12-31 00:48:10.000000,23.70877,-82.36308000000001,12.8,270.8,268.0
49,49,2021-12-31 00:49:00.000000,2021-12-31 00:49,372821000,2021-12-31 00:49:20.999999,23.70882,-82.36765,12.8,270.4,267.0
50,50,2021-12-31 00:50:00.000000,2021-12-31 00:50,372821000,2021-12-31 00:50:30.000000,23.70885,-82.37218,12.8,270.4,267.0
51,51,2021-12-31 00:51:00.000001,2021-12-31 00:51,372821000,2021-12-31 00:51:49.000000,23.70886,-82.37737,12.8,270.2,267.0
52,52,2021-12-31 00:52:00.000000,2021-12-31 00:52,372821000,,23.70884668950395,-82.37987881527721,12.80014077161597,270.0313622480083,267.4832686421591
53,53,2021-12-31 00:53:00.000000,2021-12-31 00:53,372821000,2021-12-31 00:53:01.000000,23.70884,-82.38199,12.8,270.1,268.0
54,54,2021-12-31 00:54:00.000000,2021-12-31 00:54,372821000,2021-12-31 00:54:09.000000,23.70887,-82.38648,12.8,270.4,268.0
55,55,2021-12-31 00:55:00.000001,2021-12-31 00:55,372821000,2021-12-31 00:55:19.000000,23.70892,-82.39101,12.8,270.6,268.0
56,56,2021-12-31 00:56:00.000000,2021-12-31 00:56,372821000,,23.70895472980574,-82.39417589214243,12.79183478460786,270.796723717913,268.0067537596293
57,57,2021-12-31 00:57:00.000000,2021-12-31 00:57,372821000,2021-12-31 00:57:00.000000,23.70899,-82.39749,12.8,271.0,268.0
58,58,2021-12-31 00:58:00.000000,2021-12-31 00:58,372821000,2021-12-31 00:58:11.000000,23.70905,-82.40205999999999,12.8,271.1,268.0
59,59,2021-12-31 00:59:00.000000,2021-12-31 00:59,372821000,2021-12-31 00:59:19.000000,23.70913,-82.40653,12.7,271.0,268.0
60,60,2021-12-31 00:59:59.999999,2021-12-31 01:00,372821000,2021-12-31 01:00:51.000000,23.7092,-82.41247,12.8,271.2,268.0
61,61,2021-12-31 01:01:00.000000,2021-12-31 01:01,372821000,,23.709247389129,-82.41507545241795,12.83290205479908,271.234800751655,268.0000709678089
62,62,2021-12-31 01:02:00.000000,2021-12-31 01:02,372821000,2021-12-31 01:02:00.000000,23.7093,-82.41699,12.8,271.1,268.0
63,63,2021-12-31 01:03:00.000000,2021-12-31 01:03,372821000,2021-12-31 01:03:11.000000,23.70938,-82.42152,12.8,271.1,268.0
64,64,2021-12-31 01:03:59.999999,2021-12-31 01:04,372821000,2021-12-31 01:04:20.000000,23.70947,-82.42598000000001,12.8,271.5,268.0
65,65,2021-12-31 01:05:00.000000,2021-12-31 01:05,372821000,2021-12-31 01:05:30.000000,23.70958,-82.43052,12.7,271.3,268.0
66,66,2021-12-31 01:06:00.000000,2021-12-31 01:06,372821000,,23.70963501662285,-82.433498306343,12.71896007939228,270.9376390153952,268.0086107710023
67,67,2021-12-31 01:07:00.000000,2021-12-31 01:07,372821000,2021-12-31 01:07:00.000000,23.70971,-82.43641,12.8,271.5,268.0
68,68,2021-12-31 01:08:00.000000,2021-12-31 01:08,372821000,2021-12-31 01:08:10.000000,23.70986,-82.4409,12.8,272.3,267.0
69,69,2021-12-31 01:09:00.000000,2021-12-31 01:09,372821000,2021-12-31 01:09:20.000000,23.70988,-82.44544,12.7,268.7,263.0
70,70,2021-12-31 01:10:00.000000,2021-12-31 01:10,372821000,2021-12-31 01:10:30.000000,23.70962,-82.44991999999999,12.7,266.3,262.0
71,71,2021-12-31 01:11:00.000001,2021-12-31 01:11,372821000,2021-12-31 01:11:50.999999,23.70931,-82.4552,12.7,267.3,264.0
72,72,2021-12-31 01:12:00.000000,2021-12-31 01:12,372821000,,23.70918958805568,-82.45759732028222,12.70487337650248,267.5481168301743,264.5428030860116
73,73,2021-12-31 01:13:00.000000,2021-12-31 01:13,372821000,2021-12-31 01:13:01.000000,23.7091,-82.45965,12.7,267.1,264.0
74,74,2021-12-31 01:14:00.000000,2021-12-31 01:14,372821000,2021-12-31 01:14:10.000000,23.70887,-82.46410999999999,12.7,266.8,264.0
75,75,2021-12-31 01:15:00.000001,2021-12-31 01:15,372821000,2021-12-31 01:15:20.000000,23.70863,-82.46863,12.8,266.3,265.0
76,76,2021-12-31 01:16:00.000000,2021-12-31 01:16,372821000,2021-12-31 01:16:51.000000,23.70843,-82.47459,12.8,268.2,266.0
77,77,2021-12-31 01:17:00.000000,2021-12-31 01:17,372821000,,23.70835980195315,-82.4772973998743,12.79355399992692,268.7871202340864,266.5102558833524
78,78,2021-12-31 01:18:00.000000,2021-12-31 01:18,372821000,2021-12-31 01:18:09.000000,23.70832,-82.47965,12.8,268.5,266.0
79,79,2021-12-31 01:19:00.000000,2021-12-31 01:19,372821000,2021-12-31 01:19:31.000000,23.70821,-82.4849,12.8,268.8,265.0
80,80,2021-12-31 01:19:59.999999,2021-12-31 01:20,372821000,2021-12-31 01:20:41.000000,23.70811,-82.48943,12.8,269.0,266.0
81,81,2021-12-31 01:21:00.000000,2021-12-31 01:21,372821000,2021-12-31 01:21:50.000000,23.70802,-82.49389000000001,12.8,268.9,265.0
82,82,2021-12-31 01:22:00.000000,2021-12-31 01:22,372821000,,23.70797628480126,-82.49649975250189,12.82456760767435,268.625913849528,264.6775956597832
83,83,2021-12-31 01:23:00.000000,2021-12-31 01:23,372821000,2021-12-31 01:23:10.000000,23.70792,-82.49914,12.8,268.4,265.0
84,84,2021-12-31 01:23:59.999999,2021-12-31 01:24,372821000,2021-12-31 01:24:20.000000,23.70781,-82.5036,12.7,268.4,265.0
85,85,2021-12-31 01:25:00.000000,2021-12-31 01:25,372821000,2021-12-31 01:25:21.000001,23.70773,-82.50754,12.7,268.4,265.0
86,86,2021-12-31 01:26:00.000000,2021-12-31 01:26,372821000,2021-12-31 01:26:31.000000,23.70759,-82.51212,12.7,268.1,265.0
87,87,2021-12-31 01:27:00.000000,2021-12-31 01:27,372821000,2021-12-31 01:27:50.000000,23.70744,-82.51716,12.7,268.5,266.0
88,88,2021-12-31 01:28:00.000000,2021-12-31 01:28,372821000,,23.70736928158359,-82.51956228304255,12.70043370511005,268.6110937748861,266.2463776352601
89,89,2021-12-31 01:29:00.000000,2021-12-31 01:29,372821000,2021-12-31 01:29:01.000000,23.7073,-82.52173,12.7,268.3,266.0
90,90,2021-12-31 01:30:00.000000,2021-12-31 01:30,372821000,2021-12-31 01:30:10.000000,23.70716,-82.52625,12.7,267.9,266.0
91,91,2021-12-31 01:31:00.000000,2021-12-31 01:31,372821000,2021-12-31 01:31:21.000000,23.70703,-82.5308,12.7,267.8,266.0
92,92,2021-12-31 01:32:00.000000,2021-12-31 01:32,372821000,2021-12-31 01:32:29.000000,23.70688,-82.53523,12.7,267.8,266.0
93,93,2021-12-31 01:33:00.000000,2021-12-31 01:33,372821000,2021-12-31 01:33:41.000000,23.70673,-82.5398,12.7,268.1,266.0
94,94,2021-12-31 01:34:00.000000,2021-12-31 01:34,372821000,,23.70663669565979,-82.54299929913496,12.69999866340903,268.1353160425517,265.9992750501123
95,95,2021-12-31 01:35:00.000000,2021-12-31 01:35,372821000,2021-12-31 01:35:19.000000,23.70655,-82.54618,12.7,268.0,266.0
96,96,2021-12-31 01:36:00.000001,2021-12-31 01:36,372821000,2021-12-31 01:36:30.000000,23.70642,-82.5507,12.7,268.0,266.0
97,97,2021-12-31 01:37:00.000000,2021-12-31 01:37,372821000,2021-12-31 01:37:39.999999,23.70629,-82.55521999999999,12.7,268.2,266.0
98,98,2021-12-31 01:38:00.000000,2021-12-31 01:38,372821000,2021-12-31 01:38:51.000000,23.70616,-82.5598,12.7,268.3,266.0
99,99,2021-12-31 01:39:00.000000,2021-12-31 01:39,372821000,,23.7060858270712,-82.5624973879783,12.69982683706919,268.3886045136991,265.9090639913777
100,100,2021-12-31 01:40:00.000001,2021-12-31 01:40,372821000,2021-12-31 01:40:11.000000,23.70601,-82.56501,12.7,268.4,266.0
101,101,2021-12-31 01:41:00.000000,2021-12-31 01:41,372821000,2021-12-31 01:41:20.000000,23.70588,-82.56940999999999,12.7,268.3,266.0
102,102,2021-12-31 01:42:00.000000,2021-12-31 01:42,372821000,2021-12-31 01:42:41.000000,23.70576,-82.5747,12.7,268.4,265.0
103,103,2021-12-31 01:43:00.000000,2021-12-31 01:43,372821000,2021-12-31 01:43:51.000001,23.70564,-82.57916,12.7,268.5,266.0
104,104,2021-12-31 01:44:00.000000,2021-12-31 01:44,372821000,,23.70562486525378,-82.58131644815975,12.65001156206947,267.4225611733101,263.5630790831578
105,105,2021-12-31 01:44:59.999999,2021-12-31 01:45,372821000,2021-12-31 01:44:59.999999,23.70544,-82.58359,12.6,264.8,260.0
106,106,2021-12-31 01:46:00.000000,2021-12-31 01:46,372821000,2021-12-31 01:46:10.000000,23.70487,-82.58808,12.6,261.6,259.0
107,107,2021-12-31 01:47:00.000000,2021-12-31 01:47,372821000,2021-12-31 01:47:20.000000,23.70425,-82.5925,12.6,261.1,259.0
108,108,2021-12-31 01:48:00.000000,2021-12-31 01:48,372821000,2021-12-31 01:48:30.000000,23.7036,-82.59693,12.6,261.1,259.0
109,109,2021-12-31 01:48:59.999999,2021-12-31 01:49,372821000,2021-12-31 01:49:41.000000,23.70296,-82.60141999999999,12.6,261.5,260.0
110,110,2021-12-31 01:50:00.000000,2021-12-31 01:50,372821000,2021-12-31 01:50:50.000000,23.70236,-82.60573000000001,12.6,261.3,259.0
111,111,2021-12-31 01:51:00.000000,2021-12-31 01:51,372821000,,23.70205387819052,-82.60792830877337,12.65049475562246,261.1575937908561,258.3583360508297
