,index,TIME_FEN,MMSI,LON,LAT,Heading,Course,Speed
0,0,2022-01-02 00:00:00,413585000.0,121.781122,31.240447,138.0,140.4,10.8
1,1,2022-01-02 00:00:00,413585000.0,121.781568,31.239975,138.0,140.4,10.8
2,2,2022-01-02 00:00:00,413585000.0,121.781883,31.239608,138.0,140.5,10.8
3,3,2022-01-02 00:01:00,413585000.0,121.782623,31.238837,138.0,140.1,10.7
4,4,2022-01-02 00:01:00,413585000.0,121.782995,31.238452,138.0,140.2,10.7
5,5,2022-01-02 00:01:00,413585000.0,121.783332,31.238108,138.0,140.5,10.7
6,6,2022-01-02 00:01:00,413585000.0,121.784097,31.237292,138.0,140.4,10.7
7,7,2022-01-02 00:02:00,413585000.0,121.784837,31.23652,138.0,140.3,10.7
8,8,2022-01-02 00:02:00,413585000.0,121.7852,31.236133,138.0,140.3,10.7
9,9,2022-01-02 00:02:00,413585000.0,121.785977,31.235338,138.0,140.4,10.7
10,10,2022-01-02 00:02:00,413585000.0,121.786312,31.234995,138.0,140.3,10.7
11,11,2022-01-02 00:03:00,413585000.0,121.787052,31.234232,138.0,140.4,10.7
12,12,2022-01-02 00:03:00,413585000.0,121.787458,31.233815,138.0,140.3,10.7
13,13,2022-01-02 00:03:00,413585000.0,121.787753,31.233512,138.0,140.2,10.7
14,14,2022-01-02 00:03:00,413585000.0,121.788197,31.233057,138.0,140.2,10.7
15,15,2022-01-02 00:03:00,413585000.0,121.788528,31.232717,138.0,140.2,10.7
16,16,2022-01-02 00:03:00,413585000.0,121.788932,31.2323,138.0,140.3,10.6
17,17,2022-01-02 00:04:00,413585000.0,121.789662,31.231545,138.0,140.2,10.6
18,18,2022-01-02 00:04:00,413585000.0,121.79033,31.230862,138.0,140.1,10.6
19,19,2022-01-02 00:04:00,413585000.0,121.79074,31.230445,138.0,139.9,10.6
20,20,2022-01-02 00:04:00,413585000.0,121.791147,31.230028,138.0,140.1,10.6
21,21,2022-01-02 00:05:00,413585000.0,121.791485,31.229688,138.0,139.9,10.6
22,22,2022-01-02 00:05:00,413585000.0,121.791857,31.229312,138.0,140.1,10.6
23,23,2022-01-02 00:05:00,413585000.0,121.792563,31.228598,138.0,140.0,10.6
24,24,2022-01-02 00:05:00,413585000.0,121.792972,31.228188,138.0,139.9,10.6
25,25,2022-01-02 00:05:00,413585000.0,121.793382,31.227782,138.0,140.1,10.6
26,26,2022-01-02 00:06:00,413585000.0,121.79375,31.227408,138.0,140.1,10.5
27,27,2022-01-02 00:06:00,413585000.0,121.79408,31.227072,138.0,139.9,10.5
28,28,2022-01-02 00:06:00,413585000.0,121.794765,31.226352,138.0,140.0,10.5
29,29,2022-01-02 00:06:00,413585000.0,121.795168,31.22594,138.0,140.1,10.5
30,30,2022-01-02 00:06:00,413585000.0,121.795942,31.225163,138.0,139.9,10.5
31,31,2022-01-02 00:07:00,413585000.0,121.796237,31.224865,138.0,139.8,10.5
32,32,2022-01-02 00:07:00,413585000.0,121.796972,31.224115,138.0,139.9,10.5
33,33,2022-01-02 00:07:00,413585000.0,121.797378,31.223707,138.0,139.9,10.5
34,34,2022-01-02 00:07:00,413585000.0,121.797778,31.223298,138.0,139.9,10.5
35,35,2022-01-02 00:07:00,413585000.0,121.798145,31.222927,138.0,139.8,10.4
36,36,2022-01-02 00:08:00,413585000.0,121.79844,31.222628,138.0,139.9,10.4
37,37,2022-01-02 00:08:00,413585000.0,121.798848,31.222222,138.0,139.8,10.4
38,38,2022-01-02 00:08:00,413585000.0,121.79918,31.22189,137.0,139.7,10.4
39,39,2022-01-02 00:08:00,413585000.0,121.799585,31.221483,138.0,139.5,10.4
40,40,2022-01-02 00:08:00,413585000.0,121.799988,31.22108,138.0,139.6,10.4
41,41,2022-01-02 00:08:00,413585000.0,121.800358,31.22071,138.0,139.5,10.4
42,42,2022-01-02 00:09:00,413585000.0,121.800653,31.220418,138.0,139.6,10.4
43,43,2022-01-02 00:09:00,413585000.0,121.801022,31.22005,138.0,139.6,10.4
44,44,2022-01-02 00:09:00,413585000.0,121.801385,31.219683,138.0,139.5,10.3
45,45,2022-01-02 00:09:00,413585000.0,121.801787,31.219275,138.0,139.5,10.3
46,46,2022-01-02 00:09:00,413585000.0,121.802183,31.218877,137.0,139.4,10.3
47,47,2022-01-02 00:09:00,413585000.0,121.802545,31.218517,138.0,139.3,10.3
48,48,2022-01-02 00:10:00,413585000.0,121.80283,31.218228,138.0,139.4,10.3
